Wifi Hotspot Name,Address,Suburb,Latitude,Longitude,Site
QLD_JAM234A,James St Precinct,Fortitude Valley,-27.456917,153.039038,James Street Precinct
QLD_JAM235A,James St Precinct,Fortitude Valley,-27.456435,153.039698,James Street Precinct
QLD_JAM236A,James St Precinct,Fortitude Valley,-27.456487,153.040001,James Street Precinct
QLD_JAM237A,James St Precinct,Fortitude Valley,-27.456429,153.03913,James Street Precinct
QLD_JAM238A,James St Precinct,Fortitude Valley,-27.456159,153.039584,James Street Precinct
QLD_KPT247A,Intersection of River Tce and Main St,Kangaroo Point,-27.476536,153.035512,Kangaroo Point
QLD_KPT248A,3B River Tce,Kangaroo Point,-27.476832,153.034995,Kangaroo Point
QLD_KPT249A,1 Leopard St,Kangaroo Point,-27.481907,153.032737,Kangaroo Point
QLD_KPT250A,461C Main St,Kangaroo Point,-27.475801,153.035146,Kangaroo Point
QLD_KPT251A,461 Main St,Kangaroo Point,-27.475389,153.035138,Kangaroo Point
QLD_KPT252A,200 River Tce,Kangaroo Point,-27.480838,153.033388,Kangaroo Point
QLD_PAD109A,169 Given Terrace,Paddington,-27.462074,153.007561,Paddington
QLD_PAD110A,235 Given Terrace,Paddington,-27.461339,153.005131,Paddington
QLD_PAD111A,252 Given Terrace,Paddington,-27.461037,153.004061,Paddington
QLD_PAD112A,Intersection of Given Tce and Latrobe Tce,Paddington,-27.460389,153.002524,Paddington
QLD_PRK135A,Einbumpin Lagoon (Brighton Rd),Sandgate,-27.319647,153.068013,Wifi In Parks
QLD_PRK136A,Hidden World Park (Roghan Rd),Fitzgibbon,-27.339671,153.034982,Wifi In Parks
QLD_PRK137A,7th Brigade Park (Delaware St),Chermside,-27.378073,153.045342,Wifi In Parks
QLD_PRK138A,7th Brigade Park - Kidspace (Murphy Rd),Chermside,-27.378502,153.034144,Wifi In Parks
QLD_PRK139A,Teralba Park (Cnr Pullen- and Osborne Rds),Everton Park,-27.402601,152.980938,Wifi In Parks
QLD_PRK140A,Kalinga Park (Kalinga St),Kalinga,-27.406684,153.05223,Wifi In Parks
QLD_PRK141A,Oriel Park (Cnr Alexandra  and Lancaster Rds),Ascot,-27.428918,153.057855,Wifi In Parks
QLD_PRK142A,Gregory Park (Baroona Rd and Murruba St),Milton,-27.466169,152.999193,Wifi In Parks
QLD_PRK144A,Brisbane Botanic Gardens - Japanese Garden (Mt Coot-tha Rd),Mount Coot-tha,-27.47717,152.977058,Wifi In Parks
QLD_PRK145A,"218 Sir Samuel Griffith Drive, Mount Coot-Tha",Mount Coot-tha,-27.485014,152.958818,Wifi In Parks
QLD_PRK146A,New Farm Park (Brunswick St),New Farm,-27.470268,153.052223,Wifi In Parks
